product_code,date,amount
P152,2019-01-06,11
P153,2019-01-06,22
P154,2019-01-06,12
P155,2019-01-06,5
P156,2019-01-06,1
P157,2019-01-06,12
P158,2019-01-06,8
P159,2019-01-06,2
P160,2019-01-06,9
P161,2019-01-06,5
P162,2019-01-06,13
P163,2019-01-06,6
P164,2019-01-06,9
P165,2019-01-06,9
P166,2019-01-06,7
P167,2019-01-06,33
P168,2019-01-06,34
P169,2019-01-06,38
P170,2019-01-06,29
P171,2019-01-06,6
P172,2019-01-06,32
P173,2019-01-06,34
P174,2019-01-06,37
P175,2019-01-06,30
P176,2019-01-06,38
P177,2019-01-06,25
P178,2019-01-06,35
P179,2019-01-06,44
P180,2019-01-06,40
P181,2019-01-06,32
P182,2019-01-06,42
P183,2019-01-06,25
P184,2019-01-06,30
P185,2019-01-06,32
P186,2019-01-06,36
P187,2019-01-06,31
P188,2019-01-06,33
P189,2019-01-06,32
P190,2019-01-06,54
P191,2019-01-06,48
P192,2019-01-06,24
P193,2019-01-06,36
P194,2019-01-06,35
P195,2019-01-06,4
P196,2019-01-06,43
P197,2019-01-06,6
P198,2019-01-06,7
P199,2019-01-06,4
P200,2019-01-06,18
P201,2019-01-06,1
P202,2019-01-06,10
P203,2019-01-06,9
P204,2019-01-06,1
P205,2019-01-06,11
P206,2019-01-06,1
P207,2019-01-06,2
P208,2019-01-06,30
P209,2019-01-06,12
P210,2019-01-06,16
P211,2019-01-06,15
P212,2019-01-06,0
P213,2019-01-06,0
P214,2019-01-06,0
P215,2019-01-06,0
P216,2019-01-06,0
P217,2019-01-06,0
P218,2019-01-06,0
P219,2019-01-06,0
P220,2019-01-06,0
P221,2019-01-06,0
P222,2019-01-06,0
P223,2019-01-06,0
P224,2019-01-06,0
P225,2019-01-06,0
P226,2019-01-06,0
P227,2019-01-06,1
P228,2019-01-06,0
P229,2019-01-06,0
P230,2019-01-06,0
P231,2019-01-06,0
P232,2019-01-06,0
P233,2019-01-06,0
P234,2019-01-06,0
P235,2019-01-06,0
P236,2019-01-06,0
P237,2019-01-06,0
P238,2019-01-06,0
P239,2019-01-06,0
P240,2019-01-06,0
P241,2019-01-06,0
P242,2019-01-06,0
P243,2019-01-06,0
P244,2019-01-06,0
P245,2019-01-06,2
P246,2019-01-06,0
P247,2019-01-06,1
P248,2019-01-06,0
P249,2019-01-06,0
P250,2019-01-06,0
P251,2019-01-06,0
P252,2019-01-06,0
P253,2019-01-06,0
P254,2019-01-06,0
P255,2019-01-06,1
P256,2019-01-06,0
P257,2019-01-06,0
P258,2019-01-06,0
P259,2019-01-06,0
P260,2019-01-06,0
P261,2019-01-06,20
P262,2019-01-06,25
P263,2019-01-06,18
P264,2019-01-06,8
P265,2019-01-06,0
P266,2019-01-06,6
P267,2019-01-06,8
P268,2019-01-06,18
P269,2019-01-06,7
P270,2019-01-06,26
P271,2019-01-06,3
P272,2019-01-06,0
P273,2019-01-06,0
P274,2019-01-06,0
P275,2019-01-06,0
P276,2019-01-06,0
P277,2019-01-06,0
P278,2019-01-06,0
P279,2019-01-06,0
P280,2019-01-06,0
P281,2019-01-06,1
P282,2019-01-06,0
P283,2019-01-06,0
P284,2019-01-06,26
P285,2019-01-06,11
P286,2019-01-06,17
P287,2019-01-06,0
P288,2019-01-06,1
P289,2019-01-06,0
P290,2019-01-06,0
P291,2019-01-06,2
P292,2019-01-06,2
P293,2019-01-06,6
P294,2019-01-06,9
P295,2019-01-06,3
P296,2019-01-06,7
P297,2019-01-06,3
P298,2019-01-06,5
P299,2019-01-06,10
P300,2019-01-06,6
P301,2019-01-06,7
P302,2019-01-06,4
P303,2019-01-06,3
P304,2019-01-06,7
P305,2019-01-06,8
P306,2019-01-06,4
P307,2019-01-06,4
P308,2019-01-06,7
P309,2019-01-06,9
P310,2019-01-06,5
P311,2019-01-06,8
P312,2019-01-06,3
P313,2019-01-06,10
P314,2019-01-06,6
P315,2019-01-06,5
P316,2019-01-06,4
P317,2019-01-06,2
P318,2019-01-06,3
P319,2019-01-06,5
P320,2019-01-06,2
P321,2019-01-06,3
P322,2019-01-06,4
P323,2019-01-06,3
P324,2019-01-06,11
P325,2019-01-06,7
P326,2019-01-06,3
P327,2019-01-06,2
P328,2019-01-06,4
P329,2019-01-06,2
P330,2019-01-06,4
P331,2019-01-06,7
P332,2019-01-06,10
P333,2019-01-06,9
P334,2019-01-06,11
P335,2019-01-06,6
P336,2019-01-06,2
P337,2019-01-06,3
P338,2019-01-06,2
P339,2019-01-06,0
P340,2019-01-06,0
P341,2019-01-06,5
P342,2019-01-06,3
P343,2019-01-06,0
P344,2019-01-06,1
P345,2019-01-06,2
P346,2019-01-06,0
P347,2019-01-06,1
P348,2019-01-06,1
P349,2019-01-06,0
P350,2019-01-06,0
P351,2019-01-06,0
P352,2019-01-06,0
P354,2019-01-06,0
P355,2019-01-06,0
P356,2019-01-06,4
P357,2019-01-06,3
P358,2019-01-06,1
P359,2019-01-06,3
P360,2019-01-06,0
P361,2019-01-06,6
P362,2019-01-06,1
P363,2019-01-06,2
P364,2019-01-06,10
P365,2019-01-06,6
P366,2019-01-06,2
P367,2019-01-06,0
P368,2019-01-06,0
P369,2019-01-06,3
P370,2019-01-06,6
P371,2019-01-06,2
P372,2019-01-06,1
P373,2019-01-06,0
P374,2019-01-06,1
P375,2019-01-06,1
P376,2019-01-06,0
P377,2019-01-06,1
P378,2019-01-06,0
P379,2019-01-06,0
P380,2019-01-06,0
P381,2019-01-06,0
P382,2019-01-06,0
P383,2019-01-06,0
P384,2019-01-06,1
P386,2019-01-06,0
P387,2019-01-06,5
P388,2019-01-06,5
P389,2019-01-06,2
P390,2019-01-06,4
P391,2019-01-06,0
P392,2019-01-06,3
P393,2019-01-06,1
P394,2019-01-06,1
P395,2019-01-06,1
P396,2019-01-06,0
P397,2019-01-06,10
P398,2019-01-06,14
P399,2019-01-06,17
P400,2019-01-06,20
P401,2019-01-06,3
P402,2019-01-06,1
P403,2019-01-06,12
P404,2019-01-06,11
P405,2019-01-06,23
P406,2019-01-06,6
P407,2019-01-06,22
P408,2019-01-06,7
P409,2019-01-06,42
P410,2019-01-06,6
P411,2019-01-06,16
P412,2019-01-06,4
P413,2019-01-06,4
P414,2019-01-06,2
P415,2019-01-06,2
P416,2019-01-06,1
P417,2019-01-06,0
P418,2019-01-06,0
P419,2019-01-06,0
P420,2019-01-06,0
P421,2019-01-06,0
P422,2019-01-06,1
P423,2019-01-06,0
P424,2019-01-06,0
P425,2019-01-06,0
P426,2019-01-06,0
P427,2019-01-06,0
P428,2019-01-06,0
P429,2019-01-06,16
P430,2019-01-06,13
P431,2019-01-06,3
P432,2019-01-06,6
P433,2019-01-06,2
P434,2019-01-06,2
P435,2019-01-06,21
P436,2019-01-06,14
P437,2019-01-06,7
P438,2019-01-06,1
P439,2019-01-06,1
P440,2019-01-06,1
P441,2019-01-06,0
P442,2019-01-06,0
P443,2019-01-06,0
P444,2019-01-06,0
P445,2019-01-06,0
P446,2019-01-06,0
P447,2019-01-06,0
P448,2019-01-06,0
P449,2019-01-06,0
P450,2019-01-06,1
P451,2019-01-06,1
P452,2019-01-06,0
P453,2019-01-06,0
P454,2019-01-06,0
P455,2019-01-06,0
P456,2019-01-06,0
P457,2019-01-06,0
P458,2019-01-06,0
P459,2019-01-06,0
P460,2019-01-06,1
P461,2019-01-06,0
P462,2019-01-06,0
P463,2019-01-06,0
P464,2019-01-06,0
P465,2019-01-06,0
P466,2019-01-06,0
P467,2019-01-06,0
P468,2019-01-06,0
P469,2019-01-06,0
P470,2019-01-06,0
P471,2019-01-06,0
P472,2019-01-06,0
P473,2019-01-06,0
P474,2019-01-06,0
P475,2019-01-06,3
P476,2019-01-06,1
P477,2019-01-06,1
P478,2019-01-06,1
P479,2019-01-06,0
P480,2019-01-06,0
P481,2019-01-06,1
P482,2019-01-06,0
P483,2019-01-06,0
P484,2019-01-06,3
P485,2019-01-06,15
P486,2019-01-06,16
P487,2019-01-06,7
P488,2019-01-06,10
P489,2019-01-06,5
P490,2019-01-06,6
P491,2019-01-06,19
P492,2019-01-06,9
P493,2019-01-06,9
P494,2019-01-06,6
P495,2019-01-06,16
P496,2019-01-06,5
P497,2019-01-06,5
P498,2019-01-06,4
P499,2019-01-06,11
P500,2019-01-06,8
P501,2019-01-06,4
P502,2019-01-06,11
P503,2019-01-06,13
P504,2019-01-06,10
P505,2019-01-06,23
P506,2019-01-06,23
P507,2019-01-06,11
P508,2019-01-06,9
P509,2019-01-06,9
P510,2019-01-06,9
P511,2019-01-06,25
P512,2019-01-06,17
P513,2019-01-06,22
P514,2019-01-06,7
P515,2019-01-06,10
P516,2019-01-06,24
P517,2019-01-06,15
P518,2019-01-06,15
P519,2019-01-06,30
P520,2019-01-06,9
P521,2019-01-06,8
P522,2019-01-06,12
P523,2019-01-06,8
P524,2019-01-06,14
P525,2019-01-06,15
P526,2019-01-06,9
P527,2019-01-06,7
P528,2019-01-06,9
P529,2019-01-06,13
P530,2019-01-06,20
P531,2019-01-06,4
P532,2019-01-06,15
P533,2019-01-06,28
P534,2019-01-06,6
P535,2019-01-06,15
P536,2019-01-06,14
P537,2019-01-06,20
P538,2019-01-06,7
P539,2019-01-06,9
P540,2019-01-06,23
P541,2019-01-06,11
P542,2019-01-06,12
P543,2019-01-06,9
P544,2019-01-06,15
P545,2019-01-06,13
P546,2019-01-06,10
P547,2019-01-06,9
P548,2019-01-06,32
P549,2019-01-06,35
P550,2019-01-06,11
P551,2019-01-06,5
P552,2019-01-06,15
P553,2019-01-06,2
P554,2019-01-06,24
P555,2019-01-06,10
P556,2019-01-06,15
P557,2019-01-06,28
P558,2019-01-06,15
P559,2019-01-06,11
P560,2019-01-06,9
P561,2019-01-06,6
P562,2019-01-06,6
P563,2019-01-06,5
P564,2019-01-06,13
P565,2019-01-06,4
P566,2019-01-06,24
P567,2019-01-06,3
P568,2019-01-06,4
P569,2019-01-06,1
P570,2019-01-06,2
P571,2019-01-06,4
P572,2019-01-06,2
P573,2019-01-06,1
P574,2019-01-06,0
P575,2019-01-06,0
P576,2019-01-06,0
P577,2019-01-06,1
P578,2019-01-06,1
P579,2019-01-06,0
P580,2019-01-06,1
P581,2019-01-06,2
P582,2019-01-06,3
P583,2019-01-06,2
P584,2019-01-06,2
P585,2019-01-06,1
P586,2019-01-06,7
P587,2019-01-06,4
P588,2019-01-06,5
P589,2019-01-06,0
P590,2019-01-06,3
P591,2019-01-06,2
P592,2019-01-06,2
P593,2019-01-06,4
P594,2019-01-06,1
P595,2019-01-06,1
P596,2019-01-06,2
P597,2019-01-06,1
P598,2019-01-06,10
P599,2019-01-06,2
P600,2019-01-06,0
P601,2019-01-06,0
P602,2019-01-06,0
P603,2019-01-06,0
P604,2019-01-06,0
P605,2019-01-06,1
P606,2019-01-06,1
P607,2019-01-06,0
P608,2019-01-06,1
P609,2019-01-06,0
P610,2019-01-06,6
P611,2019-01-06,3
P612,2019-01-06,14
P613,2019-01-06,18
P614,2019-01-06,4
P615,2019-01-06,17
P616,2019-01-06,6
P617,2019-01-06,36
P618,2019-01-06,40
P619,2019-01-06,38
P620,2019-01-06,31
P621,2019-01-06,31
P622,2019-01-06,29
P623,2019-01-06,38
P624,2019-01-06,5
P625,2019-01-06,11
P626,2019-01-06,10
P627,2019-01-06,12
P628,2019-01-06,7
P629,2019-01-06,10
P630,2019-01-06,11
P631,2019-01-06,8
P632,2019-01-06,13
P633,2019-01-06,5
P634,2019-01-06,6
P635,2019-01-06,14
P636,2019-01-06,6
P637,2019-01-06,2
P638,2019-01-06,15
P639,2019-01-06,0
P640,2019-01-06,14
P641,2019-01-06,0
P642,2019-01-06,5
P643,2019-01-06,0
P644,2019-01-06,0
P646,2019-01-06,0
P647,2019-01-06,0
P649,2019-01-06,0
P650,2019-01-06,0
P651,2019-01-06,0
P652,2019-01-06,0
P653,2019-01-06,0
P654,2019-01-06,0
P655,2019-01-06,0
P656,2019-01-06,0
P657,2019-01-06,0
P658,2019-01-06,0
P659,2019-01-06,0
P660,2019-01-06,0
P661,2019-01-06,0
P662,2019-01-06,0
P663,2019-01-06,0
P664,2019-01-06,0
P665,2019-01-06,0
P666,2019-01-06,1
P667,2019-01-06,1
P668,2019-01-06,1
P669,2019-01-06,0
P670,2019-01-06,0
P671,2019-01-06,1
P672,2019-01-06,0
P673,2019-01-06,1
P674,2019-01-06,4
P675,2019-01-06,2
P676,2019-01-06,1
P677,2019-01-06,0
P678,2019-01-06,0
P679,2019-01-06,1
P680,2019-01-06,0
P681,2019-01-06,0
P682,2019-01-06,0
P683,2019-01-06,0
P684,2019-01-06,0
P685,2019-01-06,0
P686,2019-01-06,2
P687,2019-01-06,1
P688,2019-01-06,0
P689,2019-01-06,0
P690,2019-01-06,0
P691,2019-01-06,0
P692,2019-01-06,0
P693,2019-01-06,2
P694,2019-01-06,0
P695,2019-01-06,0
P696,2019-01-06,0
P697,2019-01-06,0
P698,2019-01-06,2
P699,2019-01-06,0
P700,2019-01-06,1
P701,2019-01-06,5
P702,2019-01-06,3
P703,2019-01-06,2
P704,2019-01-06,0
P705,2019-01-06,1
P706,2019-01-06,0
P707,2019-01-06,1
P708,2019-01-06,0
P711,2019-01-06,0
P712,2019-01-06,0
P713,2019-01-06,0
P714,2019-01-06,0
P715,2019-01-06,0
P716,2019-01-06,1
P717,2019-01-06,0
P718,2019-01-06,0
P719,2019-01-06,0
P720,2019-01-06,0
P721,2019-01-06,0
P722,2019-01-06,0
P724,2019-01-06,0
P726,2019-01-06,0
P727,2019-01-06,2
P728,2019-01-06,1
P729,2019-01-06,0
P730,2019-01-06,0
P731,2019-01-06,0
P732,2019-01-06,0
P733,2019-01-06,0
P734,2019-01-06,1
P735,2019-01-06,0
P736,2019-01-06,1
P737,2019-01-06,0
P738,2019-01-06,0
P739,2019-01-06,0
P740,2019-01-06,0
P741,2019-01-06,0
P742,2019-01-06,0
P743,2019-01-06,1
P744,2019-01-06,0
P745,2019-01-06,2
P746,2019-01-06,1
P747,2019-01-06,1
P748,2019-01-06,0
P749,2019-01-06,1
P750,2019-01-06,0
P751,2019-01-06,0
P752,2019-01-06,4
P753,2019-01-06,1
P754,2019-01-06,0
P755,2019-01-06,0
P756,2019-01-06,0
P757,2019-01-06,0
P758,2019-01-06,0
P759,2019-01-06,0
P760,2019-01-06,0
P761,2019-01-06,0
P762,2019-01-06,2
P763,2019-01-06,0
P764,2019-01-06,1
P765,2019-01-06,0
P766,2019-01-06,0
P767,2019-01-06,0
P768,2019-01-06,0
P769,2019-01-06,0
P770,2019-01-06,2
P771,2019-01-06,0
P772,2019-01-06,0
P773,2019-01-06,0
P774,2019-01-06,0
P775,2019-01-06,0
P776,2019-01-06,0
P777,2019-01-06,0
P778,2019-01-06,0
P779,2019-01-06,0
P780,2019-01-06,0
P781,2019-01-06,9
P782,2019-01-06,5
P783,2019-01-06,15
P784,2019-01-06,3
P785,2019-01-06,3
P786,2019-01-06,1
P787,2019-01-06,1
P788,2019-01-06,4
P789,2019-01-06,2
P790,2019-01-06,3
P791,2019-01-06,4
P792,2019-01-06,0
P793,2019-01-06,0
P794,2019-01-06,0
P795,2019-01-06,0
P796,2019-01-06,2
P797,2019-01-06,2
P798,2019-01-06,6
P799,2019-01-06,3
P800,2019-01-06,3
P801,2019-01-06,3
P802,2019-01-06,1
P803,2019-01-06,3
P804,2019-01-06,2
P805,2019-01-06,0
P806,2019-01-06,4
P807,2019-01-06,0
P808,2019-01-06,0
P809,2019-01-06,0
P810,2019-01-06,0
P811,2019-01-06,5
P812,2019-01-06,3
P813,2019-01-06,1
P814,2019-01-06,4
P815,2019-01-06,0
P816,2019-01-06,0
P817,2019-01-06,1
P818,2019-01-06,0
P819,2019-01-06,0
P1,2019-01-13,12
P2,2019-01-13,6
P3,2019-01-13,11
P4,2019-01-13,8
P5,2019-01-13,5
P6,2019-01-13,3
P7,2019-01-13,8
P8,2019-01-13,6
P9,2019-01-13,9
P10,2019-01-13,19
P11,2019-01-13,7
P12,2019-01-13,4
P13,2019-01-13,10
P14,2019-01-13,12
P15,2019-01-13,45
P16,2019-01-13,27
P17,2019-01-13,40
P18,2019-01-13,38
P19,2019-01-13,31
P20,2019-01-13,17
P21,2019-01-13,5
P22,2019-01-13,14
P23,2019-01-13,5
P24,2019-01-13,42
P25,2019-01-13,28
P26,2019-01-13,14
P27,2019-01-13,34
P28,2019-01-13,32
P29,2019-01-13,10
P30,2019-01-13,36
P31,2019-01-13,17
P32,2019-01-13,13
P33,2019-01-13,12
P34,2019-01-13,42
P35,2019-01-13,37
P36,2019-01-13,32
P37,2019-01-13,39
P38,2019-01-13,36
P39,2019-01-13,21
P40,2019-01-13,27
P41,2019-01-13,27
P42,2019-01-13,27
P43,2019-01-13,43
P44,2019-01-13,27
P45,2019-01-13,29
P46,2019-01-13,46
P47,2019-01-13,42
P48,2019-01-13,51
P49,2019-01-13,28
P50,2019-01-13,3
P51,2019-01-13,14
P52,2019-01-13,44
P53,2019-01-13,5
P54,2019-01-13,42
P55,2019-01-13,30
P56,2019-01-13,28
P57,2019-01-13,26
P58,2019-01-13,34
P59,2019-01-13,13
P60,2019-01-13,41
P61,2019-01-13,30
P62,2019-01-13,27
P63,2019-01-13,39
P64,2019-01-13,37
P65,2019-01-13,10
P66,2019-01-13,41
P67,2019-01-13,30
P68,2019-01-13,11
P69,2019-01-13,43
P70,2019-01-13,39
P71,2019-01-13,11
P72,2019-01-13,34
P73,2019-01-13,30
P74,2019-01-13,9
P75,2019-01-13,45
P76,2019-01-13,34
P77,2019-01-13,7
P78,2019-01-13,40
P79,2019-01-13,34
P80,2019-01-13,29
P81,2019-01-13,6
P82,2019-01-13,12
P83,2019-01-13,40
P84,2019-01-13,26
P85,2019-01-13,34
P86,2019-01-13,33
P87,2019-01-13,38
P88,2019-01-13,28
P89,2019-01-13,26
P90,2019-01-13,34
P91,2019-01-13,11
P92,2019-01-13,36
P93,2019-01-13,9
P94,2019-01-13,9
P95,2019-01-13,15
P96,2019-01-13,35
P97,2019-01-13,37
P98,2019-01-13,2
P99,2019-01-13,11
P100,2019-01-13,6
P101,2019-01-13,51
P102,2019-01-13,41
P103,2019-01-13,5
P104,2019-01-13,4
P105,2019-01-13,3
P106,2019-01-13,10
P107,2019-01-13,19
P108,2019-01-13,2
P109,2019-01-13,8
P110,2019-01-13,12
P111,2019-01-13,4
P112,2019-01-13,36
P113,2019-01-13,26
P114,2019-01-13,6
P115,2019-01-13,9
P116,2019-01-13,7
P117,2019-01-13,2
P118,2019-01-13,13
P119,2019-01-13,40
P120,2019-01-13,35
P121,2019-01-13,10
P122,2019-01-13,10
P123,2019-01-13,5
P124,2019-01-13,6
P125,2019-01-13,9
P126,2019-01-13,8
P127,2019-01-13,0
P128,2019-01-13,43
P129,2019-01-13,36
P130,2019-01-13,53
P131,2019-01-13,32
P132,2019-01-13,36
P133,2019-01-13,48
P134,2019-01-13,41
P135,2019-01-13,32
P136,2019-01-13,37
P137,2019-01-13,41
P138,2019-01-13,44
P139,2019-01-13,36
P140,2019-01-13,36
P141,2019-01-13,45
P142,2019-01-13,29
P143,2019-01-13,35
P144,2019-01-13,13
P145,2019-01-13,12
P146,2019-01-13,13
P147,2019-01-13,4
P148,2019-01-13,2
P149,2019-01-13,9
P150,2019-01-13,3
P151,2019-01-13,7
P152,2019-01-13,10
P153,2019-01-13,9
P154,2019-01-13,14
P155,2019-01-13,7
P156,2019-01-13,4
P157,2019-01-13,8
P158,2019-01-13,3
P159,2019-01-13,2
P160,2019-01-13,8
P161,2019-01-13,6
P162,2019-01-13,9
P163,2019-01-13,5
P164,2019-01-13,5
P165,2019-01-13,13
P166,2019-01-13,10
P167,2019-01-13,45
P168,2019-01-13,29
P169,2019-01-13,31
P170,2019-01-13,37
P171,2019-01-13,7
P172,2019-01-13,48
P173,2019-01-13,25
P174,2019-01-13,42
P175,2019-01-13,40
P176,2019-01-13,44
P177,2019-01-13,38
P178,2019-01-13,34
P179,2019-01-13,43
P180,2019-01-13,38
P181,2019-01-13,44
P182,2019-01-13,28
P183,2019-01-13,37
P184,2019-01-13,37
P185,2019-01-13,28
P186,2019-01-13,34
P187,2019-01-13,38
P188,2019-01-13,34
P189,2019-01-13,34
P190,2019-01-13,41
P191,2019-01-13,36
P192,2019-01-13,33
P193,2019-01-13,22
P194,2019-01-13,37
P195,2019-01-13,4
P196,2019-01-13,34
P197,2019-01-13,8
P198,2019-01-13,19
P199,2019-01-13,1
P200,2019-01-13,14
P201,2019-01-13,3
P202,2019-01-13,10
P203,2019-01-13,7
P204,2019-01-13,2
P205,2019-01-13,7
P206,2019-01-13,0
P207,2019-01-13,5
P208,2019-01-13,26
P209,2019-01-13,6
P210,2019-01-13,12
P211,2019-01-13,12
P212,2019-01-13,0
P213,2019-01-13,0
P214,2019-01-13,0
P215,2019-01-13,0
P216,2019-01-13,0
P217,2019-01-13,0
P218,2019-01-13,0
P219,2019-01-13,0
P220,2019-01-13,0
P221,2019-01-13,0
P222,2019-01-13,0
P223,2019-01-13,0
P224,2019-01-13,0
P225,2019-01-13,0
P226,2019-01-13,0
P227,2019-01-13,0
P228,2019-01-13,0
P229,2019-01-13,0
P230,2019-01-13,0
P231,2019-01-13,0
P232,2019-01-13,0
P233,2019-01-13,0
P234,2019-01-13,0
P235,2019-01-13,0
P236,2019-01-13,0
P237,2019-01-13,0
P238,2019-01-13,0
P239,2019-01-13,0
P240,2019-01-13,0
P241,2019-01-13,0
P242,2019-01-13,0
P243,2019-01-13,0
P244,2019-01-13,0
P245,2019-01-13,0
P246,2019-01-13,0
P247,2019-01-13,1
P248,2019-01-13,0
P249,2019-01-13,0
P250,2019-01-13,0
P251,2019-01-13,0
P252,2019-01-13,0
P253,2019-01-13,0
P254,2019-01-13,0
P255,2019-01-13,0
P256,2019-01-13,0
P257,2019-01-13,0
P258,2019-01-13,0
P259,2019-01-13,0
P260,2019-01-13,0
P261,2019-01-13,36
P262,2019-01-13,31
P263,2019-01-13,12
P264,2019-01-13,16
P265,2019-01-13,1
P266,2019-01-13,8
P267,2019-01-13,14
P268,2019-01-13,18
P269,2019-01-13,11
P270,2019-01-13,16
P271,2019-01-13,3
P272,2019-01-13,0
P273,2019-01-13,0
P274,2019-01-13,0
P275,2019-01-13,1
P276,2019-01-13,0
P277,2019-01-13,0
P278,2019-01-13,0
P279,2019-01-13,0
P280,2019-01-13,1
P281,2019-01-13,0
P282,2019-01-13,0
P283,2019-01-13,0
P284,2019-01-13,17
P285,2019-01-13,12
P286,2019-01-13,19
P287,2019-01-13,0
P288,2019-01-13,1
P289,2019-01-13,1
P290,2019-01-13,0
P291,2019-01-13,2
P292,2019-01-13,7
P293,2019-01-13,3
P294,2019-01-13,13
P295,2019-01-13,6
P296,2019-01-13,5
P297,2019-01-13,4
P298,2019-01-13,7
P299,2019-01-13,8
P300,2019-01-13,7
P301,2019-01-13,1
P302,2019-01-13,2
P303,2019-01-13,5
P304,2019-01-13,6
P305,2019-01-13,7
P306,2019-01-13,2
P307,2019-01-13,5
P308,2019-01-13,3
P309,2019-01-13,5
P310,2019-01-13,4
P311,2019-01-13,6
P312,2019-01-13,2
P313,2019-01-13,1
P314,2019-01-13,17
P315,2019-01-13,7
P316,2019-01-13,5
P317,2019-01-13,3
P318,2019-01-13,5
P319,2019-01-13,4
P320,2019-01-13,5
P321,2019-01-13,6
P322,2019-01-13,5
P323,2019-01-13,7
P324,2019-01-13,11
P325,2019-01-13,6
P326,2019-01-13,11
P327,2019-01-13,5
P328,2019-01-13,6
P329,2019-01-13,6
P330,2019-01-13,4
P331,2019-01-13,6
P332,2019-01-13,14
P333,2019-01-13,9
P334,2019-01-13,13
P335,2019-01-13,4
P336,2019-01-13,3
P337,2019-01-13,6
P338,2019-01-13,2
P339,2019-01-13,0
P340,2019-01-13,0
P341,2019-01-13,1
P342,2019-01-13,2
P343,2019-01-13,0
P344,2019-01-13,2
P345,2019-01-13,3
P346,2019-01-13,0
P347,2019-01-13,0
P348,2019-01-13,0
P349,2019-01-13,0
P350,2019-01-13,0
P351,2019-01-13,0
P352,2019-01-13,0
P354,2019-01-13,0
P355,2019-01-13,0
